0.01,0.0025,1.4375,1.2625,2.7575,2.4825,3.2675,2.9575,3.6625,3.3175,3.955,3.5725,3.855,3.5125,3.9425,3.6125,3.63,3.295,3.0625,2.74,2.3575,2.0925,1.805,1.5675,1.345,1.14,1.135,0.92,1.1125,0.9525,1.1775,1.03,1.185,1.0275,1.2875,1.1125,1.2225,1.0525,1.115,0.9425,1.0875
0.01,0.005,2.5975,2.315,5.0825,4.6575,5.8,5.245,6.37,5.725,6.88,6.235,7.175,6.4525,7.265,6.5375,6.785,6.1825,5.8125,5.2275,4.3275,3.8275,3.135,2.7125,2.4175,2.03,2.1375,1.77,2.035,1.76,1.9675,1.6775,1.925,1.665,1.9275,1.6875,2.0175,1.7425,2.035,1.7325,2.0825
0.005,0,2.0225,1.7575,3.675,3.3075,4.115,3.71,4.4625,4.02,4.8125,4.3475,5.2175,4.725,5.36,4.8575,5.015,4.5125,4.27,3.82,3.2275,2.87,2.39,2.095,1.8625,1.5825,1.4925,1.23,1.47,1.2525,1.445,1.225,1.445,1.2,1.4075,1.205,1.37,1.155,1.25,1.08,1.27
0.01,0.005,1.62,1.4725,3.2375,2.955,3.485,3.1675,3.81,3.49,4.2875,3.88,4.6675,4.225,4.795,4.41,4.7625,4.3375,4.17,3.72,3.2625,2.8625,2.4525,2.1975,2,1.7275,1.62,1.3725,1.4225,1.1975,1.295,1.0875,1.2725,1.1025,1.2725,1.05,1.28,1.0975,1.3425,1.15,1.3375
0.0025,0.0025,1.9725,1.785,3.7125,3.41,4.1375,3.7425,4.595,4.075,4.725,4.25,4.765,4.3525,4.7925,4.36,4.25,3.85,3.4475,3.13,2.635,2.2925,2.0675,1.7375,1.4875,1.265,1.31,1.0875,1.1925,1.005,1.09,0.93,1.0425,0.8875,1.1675,0.9875,1.25,1.0625,1.2975,1.1525,1.3775
0.0125,0.005,1.5575,1.4225,3.16,2.86,3.5075,3.1925,3.735,3.41,3.995,3.59,4.005,3.6375,3.8125,3.4025,3.38,3.035,2.9475,2.6425,2.205,1.945,1.565,1.315,1.33,1.125,1.16,0.9675,1.0175,0.84,1.0125,0.8875,1.0525,0.9075,1.065,0.94,1.1375,0.965,1.15,0.9675,1.0275
0,0,3.0175,2.7475,5.8575,5.25,6.42,5.8675,6.9025,6.2725,7.18,6.535,7.5575,6.8525,7.65,6.885,7.075,6.38,5.78,5.27,4.195,3.6625,2.9775,2.52,2.3725,1.9625,2.0325,1.75,1.925,1.62,1.8525,1.5875,1.8175,1.5875,1.8525,1.61,1.8475,1.655,1.99,1.7125,2.02
0.0025,0,1.885,1.7075,3.78,3.445,4.3775,3.9625,4.565,4.1425,4.5475,4.0625,4.83,4.29,5.005,4.4725,4.655,4.21,3.8725,3.5,2.745,2.455,2.105,1.785,1.67,1.43,1.52,1.27,1.34,1.135,1.27,1.07,1.1525,0.9575,1.19,0.985,1.25,1.0725,1.1825,1.0125,1.26
0,0,1.8775,1.71,3.6625,3.3075,4.115,3.6875,4.4125,3.9675,4.72,4.28,5.2075,4.7275,5.135,4.66,4.74,4.24,3.97,3.565,3.1575,2.7875,2.4975,2.1975,2.0275,1.6825,1.6475,1.4,1.625,1.345,1.4825,1.2175,1.41,1.2325,1.3375,1.145,1.3675,1.1575,1.37,1.155,1.3375
0.005,0.005,2.765,2.4525,5.105,4.6225,5.4475,4.9575,5.595,5.085,5.725,5.21,5.5675,5.04,5.39,4.925,4.7925,4.32,3.695,3.345,2.735,2.38,1.9525,1.6925,1.7,1.41,1.565,1.275,1.37,1.1925,1.4025,1.1825,1.4125,1.2525,1.475,1.2875,1.4125,1.1675,1.3775,1.235,1.39
0,0,2.415,2.145,4.5225,4.1225,4.765,4.335,5.0425,4.57,5.0475,4.5575,4.97,4.4825,4.74,4.2275,4.1525,3.75,3.2425,2.865,2.295,2,1.86,1.58,1.455,1.195,1.255,1.0675,1.12,0.9075,1.1525,0.9875,1.21,1.035,1.2375,1.0625,1.36,1.16,1.405,1.1925,1.38
0.0025,0.0025,3.7325,3.3225,6.815,6.1075,7.28,6.595,7.5675,6.8375,7.515,6.8175,7.4025,6.6325,6.935,6.2725,5.7825,5.3225,4.435,3.9375,3.2425,2.815,2.4325,2.03,2.03,1.655,1.815,1.56,1.71,1.4325,1.7175,1.4725,1.6825,1.4025,1.745,1.5125,1.905,1.6125,1.975,1.76,2.0175
0,0,1.875,1.7275,3.74,3.3625,4.0175,3.59,4.0825,3.69,4.3175,3.9275,4.3825,3.9725,4.005,3.585,3.455,3.115,2.82,2.53,2.095,1.8175,1.5675,1.3125,1.235,1.0275,1.1425,0.9375,1.1025,0.9275,1.1125,0.975,1.0525,0.915,1.02,0.8825,1.0775,0.935,1.18,1.0025,1.26
0.0025,0,2.4225,2.185,4.5125,4.07,4.885,4.445,5.1025,4.6375,5.3875,4.9325,5.425,4.975,5.025,4.52,4.255,3.85,3.385,2.9925,2.6075,2.2825,1.9575,1.6625,1.6025,1.3275,1.425,1.1925,1.395,1.2175,1.475,1.2275,1.4125,1.1925,1.3925,1.2025,1.455,1.235,1.41,1.2475,1.455
0.0075,0.005,2.1675,1.935,4.005,3.69,4.3525,3.92,4.385,3.995,4.4275,3.97,4.395,4.0325,4.295,3.91,3.785,3.4525,2.975,2.6825,2.2975,2.0575,1.8425,1.5625,1.44,1.1425,1.2125,1.0025,1.07,0.9125,1.105,0.9325,1.0825,0.925,1.08,0.895,1.0925,0.935,1.16,0.9975,1.2625
0.0025,0,1.89,1.71,3.9275,3.55,4.42,4.005,4.635,4.205,5.23,4.79,5.92,5.285,6.2325,5.6075,6.105,5.4925,5.3375,4.785,4.545,4.0825,3.5375,3.11,2.5625,2.23,2.03,1.675,1.745,1.4525,1.5625,1.3225,1.5625,1.3725,1.6725,1.4225,1.625,1.4175,1.6475,1.4575,1.6775
0,0,1.6875,1.5325,3.495,3.1875,4.02,3.61,4.2325,3.87,4.4825,4.0975,4.725,4.26,4.5375,4.17,4.1925,3.795,3.4525,3.0875,2.5025,2.2475,1.99,1.7275,1.6075,1.365,1.4075,1.2225,1.2825,1.08,1.2575,1.09,1.2325,1.07,1.315,1.12,1.33,1.11,1.2675,1.09,1.28
0.005,0,3.0125,2.7125,5.6275,5.0775,5.9575,5.3975,6.12,5.555,6.6025,5.8975,6.79,6.2225,6.7,6.055,6.025,5.4375,4.815,4.3575,3.5175,3.135,2.615,2.175,1.96,1.65,1.7825,1.52,1.835,1.555,1.7975,1.495,1.785,1.52,1.81,1.455,1.8375,1.56,1.88,1.5775,1.78
0.0025,0.0025,1.995,1.83,3.8725,3.5125,4.14,3.7925,4.3075,3.895,4.2525,3.8725,4.425,4.005,4.5125,4.045,4.1925,3.785,3.5925,3.2825,2.6875,2.375,2.05,1.735,1.57,1.3275,1.3,1.0875,1.0975,0.895,1.1475,0.9725,1.15,0.9575,1.1725,1.02,1.2925,1.13,1.26,1.06,1.355
0.005,0,1.55,1.405,3.035,2.725,3.4925,3.1525,3.985,3.56,4.41,4.03,4.65,4.2375,4.8475,4.37,4.43,3.9475,3.67,3.2775,2.8725,2.5575,2.17,1.8875,1.7425,1.5,1.5525,1.3,1.3825,1.16,1.2825,1.0975,1.195,1,1.205,1.0175,1.275,1.11,1.345,1.14,1.2925
